"","mass_density","ratio_oxygen_by_transition_metal_atom","ratio_atoms_cell_by_cell_vol","electronic_energy_band_gap","energy_atom","point_group","c.a_ratio","AGL_bulk_mod","Thermal_Conductivity"
"293",5.16477,2,0.111088893,0,-7.27029,48,1,205.084,"High"
"294",10.426,2,0.087264858,0,-8.6772,16,0.53970818,276.801,"High"
"295",4.29332,3,0.078876919,1.8358,-7.48461,48,1,174.188,"High"
"296",6.73174,3,0.075620885,2.3227,-7.91939,48,1,178.57,"High"
"297",8.21381,3,0.084483452,0,-7.6124,12,0.916638294,249.637,"High"
"298",5.0852,4,0.109557024,2.8001,-8.45028,16,1,273.253,"High"
"299",4.46159,2,0.097184248,0.8364,-7.9177,16,0.671091117,228.429,"High"
"300",4.86033,3,0.079745707,2.29,-7.47382,48,1,159.385,"High"
"301",6.56005,1,0.105785963,2.2231,-4.96006,48,1,174.034,"High"
"302",3.74852,3,0.083006289,2.3664,-7.47031,48,1,164.107,"High"
"303",7.08131,3,0.072835069,0,-7.71432,48,1,225.006,"High"
"304",10.6975,2,0.091827365,3.8,-30.27,48,1,244.51,"High"
"305",6.31276,3,0.088870878,3.1268,-7.89861,48,1,184.401,"High"
"306",4.01394,2,0.090761809,2.2636,-8.04768,16,0.647059704,213.336,"High"
"307",5.56123,2,0.052780893,2.84,-6.92,24,3.854341737,84.1012,"High"
"308",5.98871,2,0.087796313,3.12,-9.43,48,1,226.971,"High"
"309",6.7605,3,0.070240257,0.7293,-8.49173,48,1,220.607,"High"
"310",7.05532,1,0.078027263,0,-8.77171,48,1,232.592,"High"
"311",5.01979,1,0.090317919,4.1743,-7.84912,48,1,152.397,"High"
"312",4.81625,1,0.062467465,2.42,-8.33,12,1,3.02067,"High"
"313",8.11561,1,0.064717938,2.87,-8.91,23,1,159.952,"High"
"314",7.73171,2.5,0.07375758,0.4338,-9.01481,8,2.102756138,440.158,"High"
